,year,month,Vessel Type,Country,CO2eq,Vessel
270,2009,5,Cargo,Papua New Guinea,181565.0,581
271,2009,5,Cargo,Samoa,332.0,9
272,2009,5,Cargo,Solomon Islands,10209.0,93
273,2009,5,Cargo,Tokelau,295.0,3
274,2009,5,Cargo,Tonga,2159.0,15
275,2009,5,Cargo,Tuvalu,316.0,5
276,2009,5,Cargo,Vanuatu,2913.0,25
277,2009,5,Fishing,Fiji,11.0,1
278,2009,5,Fishing,Kiribati,1153.0,20
279,2009,5,Fishing,Marshall Islands,275.0,9
280,2009,5,Fishing,Micronesia,1064.0,19
281,2009,5,Fishing,Nauru,281.0,10
282,2009,5,Fishing,Papua New Guinea,357.0,12
283,2009,5,Fishing,Solomon Islands,1026.0,15
284,2009,5,Fishing,Tonga,10.0,1
285,2009,5,Fishing,Tuvalu,285.0,6
286,2009,5,Others,Cook Islands,121.0,4
287,2009,5,Others,Fiji,540.0,10
288,2009,5,Others,Kiribati,1003.0,26
289,2009,5,Others,Marshall Islands,328.0,11
290,2009,5,Others,Micronesia,1374.0,43
291,2009,5,Others,Nauru,66.0,2
292,2009,5,Others,Niue,74.0,3
293,2009,5,Others,Palau,243.0,13
294,2009,5,Others,Papua New Guinea,2479.0,68
295,2009,5,Others,Samoa,74.0,3
296,2009,5,Others,Solomon Islands,812.0,17
297,2009,5,Others,Tokelau,21.0,2
298,2009,5,Others,Tonga,222.0,7
299,2009,5,Others,Vanuatu,400.0,9
300,2009,5,Passenger,Cook Islands,163.0,1
301,2009,5,Passenger,Fiji,1200.0,4
302,2009,5,Passenger,Micronesia,7.0,1
303,2009,5,Passenger,Niue,92.0,1
304,2009,5,Passenger,Papua New Guinea,322.0,6
305,2009,5,Passenger,Samoa,273.0,2
306,2009,5,Passenger,Tonga,382.0,2
307,2009,5,Passenger,Vanuatu,2639.0,2
308,2009,5,Tanker,Cook Islands,209.0,2
309,2009,5,Tanker,Fiji,2273.0,10
310,2009,5,Tanker,Kiribati,468.0,8
311,2009,5,Tanker,Marshall Islands,1214.0,4
312,2009,5,Tanker,Micronesia,4186.0,30
313,2009,5,Tanker,Nauru,186.0,3
314,2009,5,Tanker,Niue,134.0,3
315,2009,5,Tanker,Palau,1356.0,14
316,2009,5,Tanker,Papua New Guinea,16681.0,75
317,2009,5,Tanker,Samoa,94.0,3
318,2009,5,Tanker,Solomon Islands,2428.0,18
319,2009,5,Tanker,Tonga,482.0,7
320,2009,5,Tanker,Tuvalu,96.0,2
321,2009,5,Tanker,Vanuatu,849.0,5
322,2009,6,Cargo,Cook Islands,5398.0,28
323,2009,6,Cargo,Fiji,3586.0,20
324,2009,6,Cargo,Kiribati,7087.0,56
325,2009,6,Cargo,Marshall Islands,2172.0,23
326,2009,6,Cargo,Micronesia,75342.0,412
327,2009,6,Cargo,Nauru,459.0,10
328,2009,6,Cargo,Niue,1278.0,8
329,2009,6,Cargo,Palau,18489.0,155
330,2009,6,Cargo,Papua New Guinea,197506.0,636
331,2009,6,Cargo,Samoa,424.0,7
332,2009,6,Cargo,Solomon Islands,9759.0,76
333,2009,6,Cargo,Tokelau,274.0,3
334,2009,6,Cargo,Tonga,1919.0,10
335,2009,6,Cargo,Tuvalu,491.0,7
336,2009,6,Cargo,Vanuatu,2850.0,23
337,2009,6,Fishing,Cook Islands,29.0,1
338,2009,6,Fishing,Kiribati,1606.0,23
339,2009,6,Fishing,Marshall Islands,302.0,11
340,2009,6,Fishing,Micronesia,1346.0,21
341,2009,6,Fishing,Nauru,203.0,10
342,2009,6,Fishing,Papua New Guinea,434.0,13
343,2009,6,Fishing,Solomon Islands,852.0,14
344,2009,6,Fishing,Tonga,2.0,1
345,2009,6,Fishing,Tuvalu,861.0,11
346,2009,6,Others,Cook Islands,570.0,8
347,2009,6,Others,Fiji,492.0,13
348,2009,6,Others,Kiribati,1557.0,29
349,2009,6,Others,Marshall Islands,734.0,16
350,2009,6,Others,Micronesia,2651.0,61
351,2009,6,Others,Niue,32.0,2
352,2009,6,Others,Palau,904.0,19
353,2009,6,Others,Papua New Guinea,1961.0,63
354,2009,6,Others,Samoa,387.0,4
355,2009,6,Others,Solomon Islands,1157.0,15
356,2009,6,Others,Tokelau,20.0,1
357,2009,6,Others,Tonga,335.0,7
358,2009,6,Others,Tuvalu,1379.0,9
359,2009,6,Others,Vanuatu,692.0,9
360,2009,6,Passenger,Cook Islands,2182.0,2
361,2009,6,Passenger,Fiji,2535.0,3
362,2009,6,Passenger,Micronesia,69.0,1
363,2009,6,Passenger,Niue,785.0,2
364,2009,6,Passenger,Papua New Guinea,290.0,3
365,2009,6,Passenger,Samoa,380.0,2
366,2009,6,Passenger,Tonga,1055.0,2
367,2009,6,Passenger,Vanuatu,197.0,1
368,2009,6,Tanker,Cook Islands,671.0,3
369,2009,6,Tanker,Fiji,1963.0,8
370,2009,6,Tanker,Kiribati,574.0,6
371,2009,6,Tanker,Marshall Islands,1130.0,9
372,2009,6,Tanker,Micronesia,6127.0,34
373,2009,6,Tanker,Nauru,79.0,3
374,2009,6,Tanker,Niue,303.0,3
375,2009,6,Tanker,Palau,1415.0,20
376,2009,6,Tanker,Papua New Guinea,18791.0,76
377,2009,6,Tanker,Samoa,137.0,3
378,2009,6,Tanker,Solomon Islands,1393.0,10
379,2009,6,Tanker,Tonga,718.0,5
380,2009,6,Tanker,Tuvalu,259.0,2
381,2009,6,Tanker,Vanuatu,1244.0,7
382,2009,7,Cargo,Cook Islands,5488.0,33
383,2009,7,Cargo,Fiji,4432.0,25
384,2009,7,Cargo,Kiribati,7839.0,60
385,2009,7,Cargo,Marshall Islands,2944.0,28
386,2009,7,Cargo,Micronesia,73786.0,421
387,2009,7,Cargo,Nauru,306.0,8
388,2009,7,Cargo,Niue,1310.0,12
389,2009,7,Cargo,Palau,16443.0,128
390,2009,7,Cargo,Papua New Guinea,203353.0,644
391,2009,7,Cargo,Samoa,528.0,10
392,2009,7,Cargo,Solomon Islands,8943.0,67
